Transaction_ID,Transaction_DateTime,Product_ID,Product_Name,Category,Brand,Model,Product_Type,Quantity,Total_Amount,Unit_Price,Customer_ID,Customer_Age,Customer_Gender,Order_Type,Delivery_Time_Min,Payment_Method,Customer_Rating,Supplier_ID,Discount_Applied,Staff_ID,Transaction_Status,Inventory_Level
T00027,5/9/2025 6:10,P2968,Realme Screen Protector,Screen Protector,Realme,Realme 21,Accessory,3,422.32,143,C895,54,Female,Shopee,0,Credit Card,4.4,S001,6.68,ST005,Completed,21
T00028,13/9/2023 9:36,P3240,Realme Screen Protector,Screen Protector,Realme,Realme 16,Accessory,1,77.73,83,C755,58,Female,Walk-In,60,Cash,3.3,S002,5.27,ST006,Completed,4
T00029,24/12/2022 22:35,P8426,Samsung 19 Speaker Replacement,Speaker,Samsung,Samsung 19,Repair,1,310,310,C855,35,Male,Lazada,38,Online Banking,4.4,S004,0,ST002,Refunded,31
T00030,5/6/2025 8:06,P1237,Apple 16 Screen Replacement,Screen,Apple,Apple 16,Repair,1,127,127,C285,25,Female,Shopee,48,Online Banking,4.1,S003,0,ST003,Cancelled,40
T00031,21/10/2025 6:24,P9392,Oppo 22 Camera Replacement,Camera,Oppo,Oppo 22,Repair,1,299,299,C230,27,Male,Walk-In,157,QR Pay,4.1,S004,0,ST007,Completed,71
T00032,21/9/2023 1:45,P6156,Samsung 17 Battery Replacement,Battery,Samsung,Samsung 17,Repair,1,240,240,C456,57,Male,Shopee,123,Online Banking,3.7,S002,0,ST002,Completed,88
T00033,23/11/2022 10:00,P6957,Apple 17 Motherboard Replacement,Motherboard,Apple,Apple 17,Repair,1,393,393,C780,25,Male,Walk-In,154,Credit Card,4.8,S002,0,ST002,Completed,30
T00034,28/9/2024 23:39,P8345,Realme Screen Protector,Screen Protector,Realme,Realme 12,Accessory,1,93.69,102,C259,49,Female,Lazada,0,Credit Card,3.2,S004,8.31,ST010,Cancelled,54
T00035,24/12/2022 21:54,P5904,Xiaomi 15 Speaker Replacement,Speaker,Xiaomi,Xiaomi 15,Repair,1,122,122,C280,48,Male,Walk-In,132,Cash,4.8,S001,0,ST006,Completed,62
T00036,26/4/2023 0:05,P7364,Samsung Cable,Cable,Samsung,Samsung 14,Accessory,3,384.55,129,C326,27,Female,Shopee,0,Cash,4,S004,2.45,ST007,Cancelled,57
T00037,30/8/2024 10:02,P2995,Apple Power Bank,Power Bank,Apple,Apple 20,Accessory,1,87.24,94,C168,49,Female,Lazada,60,Online Banking,3.6,S002,6.76,ST006,Cancelled,87
T00038,22/6/2025 6:50,P1575,Apple Headphones,Headphones,Apple,Apple 11,Accessory,2,212.94,109,C247,23,Male,Walk-In,0,Cash,3.2,S004,5.06,ST002,Completed,0
T00039,22/9/2023 8:51,P7576,Xiaomi Case,Case,Xiaomi,Xiaomi 12,Accessory,1,122.81,127,C278,25,Male,Shopee,60,QR Pay,4.9,S002,4.19,ST001,Completed,68
T00040,14/3/2025 3:28,P5774,Apple 17 Screen Replacement,Screen,Apple,Apple 17,Repair,1,88,88,C155,23,Female,Walk-In,177,Credit Card,3.7,S004,0,ST002,Completed,91
T00041,21/3/2024 2:46,P5980,Apple Headphones,Headphones,Apple,Apple 22,Accessory,1,123.38,129,C873,40,Male,Lazada,60,Cash,4.4,S004,5.62,ST002,Completed,60
T00042,29/2/2024 4:43,P2042,Huawei Cable,Cable,Huawei,Huawei 24,Accessory,2,76.56,40,C368,39,Male,Walk-In,0,Cash,3.4,S001,3.44,ST005,Completed,90
T00043,24/9/2025 3:38,P6391,Apple 12 Screen Replacement,Screen,Apple,Apple 12,Repair,1,277,277,C858,41,Female,Shopee,174,Credit Card,3.4,S004,0,ST001,Completed,80
T00044,16/9/2023 10:11,P3485,Samsung 18 Speaker Replacement,Speaker,Samsung,Samsung 18,Repair,1,264,264,C697,58,Male,Walk-In,95,Credit Card,4.6,S001,0,ST003,Completed,39
T00045,23/4/2025 7:00,P5032,Apple 14 Motherboard Replacement,Motherboard,Apple,Apple 14,Repair,1,179,179,C119,58,Male,Walk-In,78,Online Banking,4.3,S004,0,ST003,Completed,7
T00046,27/1/2023 1:47,P8616,Samsung Headphones,Headphones,Samsung,Samsung 17,Accessory,3,296.48,102,C843,59,Female,Walk-In,0,Credit Card,3.4,S004,9.52,ST003,Completed,54
T00047,27/9/2025 6:24,P9634,Realme Headphones,Headphones,Realme,Realme 19,Accessory,2,293.25,150,C885,24,Female,Lazada,0,Credit Card,4.9,S001,6.75,ST009,Completed,97
T00048,1/2/2023 5:46,P6788,Xiaomi Charger,Charger,Xiaomi,Xiaomi 22,Accessory,2,172.74,87,C592,25,Female,Walk-In,0,QR Pay,4.1,S003,1.26,ST008,Completed,58
T00049,22/6/2024 10:41,P3411,Xiaomi Case,Case,Xiaomi,Xiaomi 23,Accessory,2,215.83,108,C382,31,Male,Shopee,0,Online Banking,4,S003,0.17,ST004,Completed,37
T00050,16/6/2025 22:42,P4927,Xiaomi Headphones,Headphones,Xiaomi,Xiaomi 22,Accessory,3,432.06,146,C842,19,Female,Walk-In,0,Online Banking,3.8,S001,5.94,ST009,Cancelled,43
T00051,22/3/2025 7:46,P8746,Vivo 22 Screen Replacement,Screen,Vivo,Vivo 22,Repair,1,248,248,C645,48,Male,Shopee,100,Cash,3.7,S002,0,ST006,Completed,54
T00052,21/6/2025 23:32,P2215,Apple Headphones,Headphones,Apple,Apple 17,Accessory,1,55,60,C387,31,Female,Shopee,60,QR Pay,4.1,S002,5,ST008,Completed,22
T00053,10/4/2025 8:22,P4928,Oppo 14 Charging Port Replacement,Charging Port,Oppo,Oppo 14,Repair,1,263,263,C345,52,Male,Lazada,65,Credit Card,3.1,S001,0,ST007,Completed,29
T00054,5/10/2024 0:33,P1711,Huawei Cable,Cable,Huawei,Huawei 18,Accessory,2,368.11,187,C338,59,Female,Shopee,60,QR Pay,3.7,S003,5.89,ST002,Cancelled,19
T00055,26/2/2023 22:56,P4110,Oppo 21 Screen Replacement,Screen,Oppo,Oppo 21,Repair,1,163,163,C303,25,Female,Walk-In,55,Online Banking,4.3,S002,0,ST009,Completed,48
T00056,23/12/2023 4:20,P1653,Xiaomi 21 Charging Port Replacement,Charging Port,Xiaomi,Xiaomi 21,Repair,1,334,334,C532,21,Male,Lazada,157,Cash,3.4,S004,0,ST001,Completed,29
T00057,23/6/2025 22:41,P4231,Huawei 25 Speaker Replacement,Speaker,Huawei,Huawei 25,Repair,1,136,136,C607,53,Male,Lazada,149,Cash,3.5,S003,0,ST007,Completed,25
T00058,26/11/2023 8:20,P5021,Realme Power Bank,Power Bank,Realme,Realme 24,Accessory,3,67.6,23,C178,56,Female,Lazada,60,Credit Card,3.3,S004,1.4,ST009,Cancelled,66
T00059,21/5/2023 9:21,P1415,Samsung Screen Protector,Screen Protector,Samsung,Samsung 12,Accessory,3,260.85,89,C175,36,Female,Shopee,0,Online Banking,4.2,S001,6.15,ST010,Completed,95
T00060,30/6/2024 7:59,P2789,Xiaomi Power Bank,Power Bank,Xiaomi,Xiaomi 19,Accessory,3,244,82,C994,36,Female,Shopee,0,Credit Card,4,S001,2,ST002,Completed,2
T00061,6/4/2024 5:40,P2364,Samsung 17 Motherboard Replacement,Motherboard,Samsung,Samsung 17,Repair,1,229,229,C313,32,Female,Shopee,173,QR Pay,3.5,S001,0,ST010,Completed,70
T00062,28/7/2025 1:23,P9163,Samsung 19 Camera Replacement,Camera,Samsung,Samsung 19,Repair,1,262,262,C436,24,Male,Walk-In,53,Cash,4.1,S003,0,ST001,Completed,66
T00063,15/4/2024 8:10,P8151,Realme 16 Screen Replacement,Screen,Realme,Realme 16,Repair,1,228,228,C404,51,Female,Shopee,47,QR Pay,3.8,S001,0,ST008,Completed,54
T00064,24/12/2023 10:03,P8421,Samsung Cable,Cable,Samsung,Samsung 20,Accessory,3,533.23,179,C857,53,Female,Shopee,0,Credit Card,4.9,S002,3.77,ST003,Completed,64
T00065,26/11/2023 5:58,P4778,Huawei 20 Speaker Replacement,Speaker,Huawei,Huawei 20,Repair,1,250,250,C538,31,Male,Walk-In,44,QR Pay,4.6,S003,0,ST002,Refunded,94
T00066,15/10/2023 3:20,P8402,Samsung Case,Case,Samsung,Samsung 22,Accessory,3,302.62,103,C595,39,Female,Lazada,0,QR Pay,3.9,S004,6.38,ST002,Completed,65
T00067,9/4/2024 2:59,P7863,Huawei Screen Protector,Screen Protector,Huawei,Huawei 25,Accessory,3,332.34,114,C328,55,Female,Lazada,30,QR Pay,4.8,S001,9.66,ST002,Completed,54
T00068,25/7/2023 1:24,P6140,Xiaomi 16 Screen Replacement,Screen,Xiaomi,Xiaomi 16,Repair,1,154,154,C681,58,Female,Lazada,31,Online Banking,4.9,S003,0,ST008,Completed,28
T00069,5/6/2023 1:35,P8081,Oppo Power Bank,Power Bank,Oppo,Oppo 21,Accessory,1,19.86,22,C693,60,Male,Shopee,60,QR Pay,4.5,S003,2.14,ST005,Completed,27
T00070,17/6/2025 4:47,P3825,Xiaomi Cable,Cable,Xiaomi,Xiaomi 15,Accessory,2,308.43,155,C183,41,Male,Lazada,60,Online Banking,4,S002,1.57,ST006,Completed,86
T00071,30/3/2025 22:35,P4383,Apple Cable,Cable,Apple,Apple 18,Accessory,1,69.29,76,C145,57,Female,Lazada,30,Online Banking,4.5,S003,6.71,ST009,Completed,17
T00072,1/2/2024 7:38,P2037,Samsung 15 Battery Replacement,Battery,Samsung,Samsung 15,Repair,1,139,139,C448,26,Male,Walk-In,55,Online Banking,3.5,S003,0,ST005,Completed,75
T00073,27/2/2023 2:47,P7997,Xiaomi 22 Screen Replacement,Screen,Xiaomi,Xiaomi 22,Repair,1,96,96,C331,55,Female,Walk-In,142,Online Banking,3.7,S003,0,ST009,Completed,78
T00074,24/12/2023 7:56,P3439,Oppo 22 Battery Replacement,Battery,Oppo,Oppo 22,Repair,1,139,139,C921,38,Male,Shopee,70,Cash,3.8,S001,0,ST009,Completed,76
T00075,28/11/2022 10:27,P7129,Oppo Screen Protector,Screen Protector,Oppo,Oppo 21,Accessory,1,37.47,41,C268,60,Male,Walk-In,30,Online Banking,4.2,S004,3.53,ST005,Completed,31
T00076,10/12/2024 4:56,P7781,Vivo 21 Battery Replacement,Battery,Vivo,Vivo 21,Repair,1,392,392,C926,35,Female,Walk-In,130,Credit Card,3.4,S002,0,ST001,Completed,85
T00077,7/12/2024 1:10,P8198,Vivo 24 Battery Replacement,Battery,Vivo,Vivo 24,Repair,1,119,119,C925,23,Male,Shopee,125,QR Pay,4.9,S002,0,ST008,Refunded,77
T00078,14/5/2023 0:08,P2206,Xiaomi Screen Protector,Screen Protector,Xiaomi,Xiaomi 14,Accessory,2,350.22,179,C949,38,Female,Shopee,30,Online Banking,3.3,S001,7.78,ST006,Completed,78
T00079,6/10/2024 1:31,P1290,Vivo Cable,Cable,Vivo,Vivo 24,Accessory,2,74.6,39,C166,33,Male,Walk-In,0,QR Pay,3.9,S004,3.4,ST007,Completed,76
T00080,16/9/2023 6:38,P5466,Realme Headphones,Headphones,Realme,Realme 17,Accessory,2,140.53,71,C805,55,Male,Shopee,30,Online Banking,3.8,S002,1.47,ST005,Completed,30
T00081,3/11/2023 6:03,P5720,Samsung Case,Case,Samsung,Samsung 18,Accessory,3,102.77,37,C375,49,Female,Shopee,60,Cash,4.7,S003,8.23,ST002,Completed,83
T00082,29/7/2025 6:15,P3312,Oppo Screen Protector,Screen Protector,Oppo,Oppo 16,Accessory,2,357.7,183,C630,57,Male,Walk-In,60,QR Pay,3.6,S002,8.3,ST002,Completed,28
T00083,19/2/2024 1:13,P5045,Samsung Charger,Charger,Samsung,Samsung 21,Accessory,3,362.07,123,C748,55,Male,Walk-In,30,Cash,3.1,S002,6.93,ST010,Completed,80
T00084,19/4/2025 10:44,P1688,Huawei Charger,Charger,Huawei,Huawei 17,Accessory,2,373.81,189,C890,41,Female,Lazada,0,Online Banking,4,S004,4.19,ST010,Completed,4
T00085,25/4/2023 4:39,P8331,Oppo Headphones,Headphones,Oppo,Oppo 23,Accessory,3,376.16,126,C503,47,Male,Lazada,30,Online Banking,4.1,S001,1.84,ST003,Completed,7
T00086,2/1/2023 4:14,P1576,Vivo Headphones,Headphones,Vivo,Vivo 24,Accessory,2,321.33,162,C374,28,Female,Lazada,60,QR Pay,3.3,S004,2.67,ST002,Completed,40
T00087,1/2/2023 4:12,P8088,Realme Cable,Cable,Realme,Realme 21,Accessory,1,13.34,20,C646,54,Male,Walk-In,0,Online Banking,4.1,S003,6.66,ST008,Completed,27
T00088,3/11/2024 5:28,P7906,Xiaomi 25 Speaker Replacement,Speaker,Xiaomi,Xiaomi 25,Repair,1,380,380,C834,29,Male,Lazada,46,Online Banking,3.3,S002,0,ST001,Completed,33
T00089,14/11/2022 6:33,P8325,Samsung 23 Motherboard Replacement,Motherboard,Samsung,Samsung 23,Repair,1,104,104,C618,20,Male,Lazada,38,Cash,3,S004,0,ST007,Completed,13
T00090,7/11/2023 8:59,P8376,Xiaomi 19 Camera Replacement,Camera,Xiaomi,Xiaomi 19,Repair,1,313,313,C249,29,Male,Walk-In,54,Cash,4.3,S003,0,ST009,Completed,85
T00091,28/5/2024 7:04,P7299,Samsung 20 Motherboard Replacement,Motherboard,Samsung,Samsung 20,Repair,1,254,254,C308,51,Female,Shopee,177,Cash,3.2,S004,0,ST002,Completed,85
T00092,13/3/2025 7:51,P1501,Realme Headphones,Headphones,Realme,Realme 24,Accessory,2,237.54,120,C521,25,Female,Walk-In,60,Credit Card,4.8,S001,2.46,ST008,Completed,8
T00093,9/3/2023 22:36,P3162,Samsung 17 Screen Replacement,Screen,Samsung,Samsung 17,Repair,1,122,122,C872,26,Male,Lazada,92,Online Banking,4.1,S001,0,ST005,Completed,99
T00094,13/8/2025 1:28,P1374,Oppo Headphones,Headphones,Oppo,Oppo 19,Accessory,2,34.95,22,C539,41,Female,Walk-In,60,QR Pay,4.6,S001,9.05,ST002,Completed,72
T00095,24/3/2023 9:07,P9277,Huawei 11 Camera Replacement,Camera,Huawei,Huawei 11,Repair,1,344,344,C498,26,Female,Shopee,51,Cash,3.2,S004,0,ST004,Completed,75
T00096,24/1/2023 4:12,P8407,Samsung Case,Case,Samsung,Samsung 17,Accessory,3,351.41,118,C585,55,Male,Shopee,30,Cash,3.6,S002,2.59,ST009,Completed,84
T00097,26/4/2023 10:15,P9869,Apple Cable,Cable,Apple,Apple 10,Accessory,3,347.97,118,C454,43,Female,Walk-In,60,QR Pay,3.2,S002,6.03,ST008,Completed,71
T00098,16/8/2023 1:43,P9398,Realme Case,Case,Realme,Realme 24,Accessory,3,176.9,61,C434,44,Male,Lazada,30,QR Pay,3.6,S002,6.1,ST008,Completed,87
T00099,16/11/2023 2:24,P6505,Apple 22 Battery Replacement,Battery,Apple,Apple 22,Repair,1,360,360,C148,40,Female,Walk-In,53,Credit Card,3.9,S001,0,ST003,Completed,49
T00100,7/3/2024 5:35,P6364,Vivo Screen Protector,Screen Protector,Vivo,Vivo 10,Accessory,3,557.32,186,C375,25,Male,Walk-In,0,QR Pay,4.9,S001,0.68,ST007,Completed,57
T00101,14/11/2022 22:34,P4496,Huawei 17 Motherboard Replacement,Motherboard,Huawei,Huawei 17,Repair,1,131,131,C292,41,Male,Lazada,122,Online Banking,4.9,S003,0,ST006,Completed,64
T00102,21/4/2024 9:12,P8968,Realme Headphones,Headphones,Realme,Realme 14,Accessory,1,124.69,128,C906,27,Male,Lazada,60,Credit Card,3.5,S004,3.31,ST004,Completed,49
T00103,16/11/2022 3:02,P8807,Samsung Case,Case,Samsung,Samsung 25,Accessory,1,188.93,193,C109,23,Male,Lazada,0,QR Pay,3.8,S002,4.07,ST008,Completed,89
T00104,9/11/2023 5:24,P5104,Oppo Headphones,Headphones,Oppo,Oppo 15,Accessory,2,177.32,90,C635,36,Female,Shopee,30,QR Pay,3.3,S001,2.68,ST009,Completed,9
T00105,13/7/2024 1:52,P3885,Oppo 13 Battery Replacement,Battery,Oppo,Oppo 13,Repair,1,292,292,C192,33,Male,Lazada,149,QR Pay,4.5,S004,0,ST003,Completed,12
T00106,19/10/2024 8:19,P1261,Vivo Charger,Charger,Vivo,Vivo 13,Accessory,1,106.7,114,C552,54,Female,Shopee,30,QR Pay,4.7,S001,7.3,ST008,Cancelled,41
T00107,20/7/2025 6:00,P3636,Vivo 19 Screen Replacement,Screen,Vivo,Vivo 19,Repair,1,321,321,C761,28,Female,Shopee,136,Online Banking,4.4,S003,0,ST007,Refunded,6
T00108,30/12/2024 7:07,P1835,Oppo Charger,Charger,Oppo,Oppo 18,Accessory,3,574.08,193,C864,41,Female,Walk-In,60,Online Banking,3.2,S002,4.92,ST007,Completed,69
T00109,7/1/2023 6:41,P7418,Vivo 22 Speaker Replacement,Speaker,Vivo,Vivo 22,Repair,1,134,134,C948,42,Female,Shopee,54,Cash,3.9,S002,0,ST005,Completed,7
T00110,14/11/2023 23:08,P1846,Vivo 12 Charging Port Replacement,Charging Port,Vivo,Vivo 12,Repair,1,372,372,C182,46,Female,Shopee,154,Online Banking,3.6,S003,0,ST002,Completed,36
T00111,18/4/2024 1:16,P1885,Xiaomi Charger,Charger,Xiaomi,Xiaomi 22,Accessory,1,180.83,182,C366,36,Female,Lazada,30,QR Pay,3.2,S003,1.17,ST003,Completed,26
T00112,29/9/2023 10:22,P6772,Oppo 14 Screen Replacement,Screen,Oppo,Oppo 14,Repair,1,396,396,C494,28,Male,Lazada,35,QR Pay,4.2,S002,0,ST003,Completed,82
T00113,4/4/2025 6:56,P4353,Apple 16 Screen Replacement,Screen,Apple,Apple 16,Repair,1,132,132,C697,55,Male,Shopee,43,QR Pay,4.8,S002,0,ST009,Completed,84
T00114,19/2/2023 22:34,P3363,Realme Screen Protector,Screen Protector,Realme,Realme 15,Accessory,1,84.27,91,C470,25,Male,Walk-In,30,Online Banking,4.6,S004,6.73,ST001,Completed,67
T00115,8/10/2024 22:36,P2301,Samsung Headphones,Headphones,Samsung,Samsung 16,Accessory,2,176.11,89,C512,27,Female,Walk-In,30,Credit Card,3.8,S004,1.89,ST003,Completed,55
T00116,25/12/2024 5:18,P1377,Oppo 12 Screen Replacement,Screen,Oppo,Oppo 12,Repair,1,222,222,C277,51,Male,Shopee,104,Cash,4.5,S003,0,ST008,Completed,1
T00117,20/2/2024 0:17,P1172,Oppo 22 Camera Replacement,Camera,Oppo,Oppo 22,Repair,1,103,103,C714,55,Male,Shopee,42,Online Banking,3.7,S002,0,ST005,Completed,41
T00118,10/12/2023 3:18,P2566,Xiaomi 22 Battery Replacement,Battery,Xiaomi,Xiaomi 22,Repair,1,308,308,C174,36,Female,Lazada,39,QR Pay,4.8,S004,0,ST004,Completed,28
T00119,5/2/2024 22:19,P2722,Samsung 15 Battery Replacement,Battery,Samsung,Samsung 15,Repair,1,191,191,C699,42,Female,Lazada,127,Cash,4.2,S004,0,ST001,Completed,85
T00120,25/6/2023 2:52,P4711,Xiaomi Charger,Charger,Xiaomi,Xiaomi 10,Accessory,1,140.73,147,C961,44,Female,Walk-In,0,Online Banking,4.8,S003,6.27,ST010,Completed,45
T00121,13/10/2023 8:58,P1404,Xiaomi Charger,Charger,Xiaomi,Xiaomi 18,Accessory,2,184.9,94,C764,38,Female,Shopee,60,Cash,3,S001,3.1,ST001,Completed,18
T00122,6/3/2025 5:33,P3079,Samsung 16 Camera Replacement,Camera,Samsung,Samsung 16,Repair,1,140,140,C109,59,Male,Walk-In,31,Cash,4.1,S002,0,ST005,Completed,82
T00123,6/12/2024 7:58,P2825,Vivo Charger,Charger,Vivo,Vivo 17,Accessory,2,337.64,170,C582,39,Male,Shopee,30,QR Pay,4.2,S003,2.36,ST003,Completed,73
T00124,18/9/2025 1:57,P2854,Huawei 15 Camera Replacement,Camera,Huawei,Huawei 15,Repair,1,263,263,C949,18,Male,Lazada,109,Cash,3.6,S003,0,ST010,Completed,40
T00125,1/5/2024 6:05,P3646,Huawei 18 Battery Replacement,Battery,Huawei,Huawei 18,Repair,1,337,337,C163,46,Female,Shopee,76,Cash,3.1,S004,0,ST008,Completed,47
T00126,24/9/2024 1:21,P5292,Oppo Case,Case,Oppo,Oppo 19,Accessory,3,275.62,94,C397,20,Female,Walk-In,30,QR Pay,4.1,S003,6.38,ST005,Completed,6
T00127,6/8/2023 7:53,P2952,Samsung 13 Screen Replacement,Screen,Samsung,Samsung 13,Repair,1,150,150,C838,42,Male,Lazada,51,Online Banking,4.9,S004,0,ST003,Completed,46
T00128,28/12/2024 4:24,P2377,Vivo Cable,Cable,Vivo,Vivo 22,Accessory,1,26.19,36,C791,44,Male,Shopee,0,Credit Card,4,S002,9.81,ST003,Completed,9
T00129,13/11/2022 0:59,P4104,Oppo 13 Charging Port Replacement,Charging Port,Oppo,Oppo 13,Repair,1,397,397,C601,46,Male,Walk-In,80,Cash,3.2,S001,0,ST006,Completed,66
T00130,17/11/2024 23:18,P9420,Huawei 24 Charging Port Replacement,Charging Port,Huawei,Huawei 24,Repair,1,109,109,C707,53,Female,Walk-In,61,Cash,4,S001,0,ST009,Completed,33
T00131,1/8/2025 23:44,P2690,Realme 15 Camera Replacement,Camera,Realme,Realme 15,Repair,1,370,370,C329,51,Male,Shopee,34,Online Banking,3.4,S003,0,ST006,Completed,23
T00132,25/6/2024 22:09,P4204,Samsung Case,Case,Samsung,Samsung 12,Accessory,1,77.05,82,C100,50,Male,Shopee,0,Online Banking,3.6,S003,4.95,ST003,Completed,42
T00133,4/6/2025 1:38,P7036,Samsung Screen Protector,Screen Protector,Samsung,Samsung 15,Accessory,3,392.3,134,C161,18,Female,Lazada,30,Online Banking,3.1,S003,9.7,ST002,Completed,26
T00134,9/5/2023 0:27,P7952,Realme 10 Motherboard Replacement,Motherboard,Realme,Realme 10,Repair,1,306,306,C483,58,Female,Lazada,117,Credit Card,4.9,S001,0,ST006,Completed,3
T00135,2/2/2023 10:02,P9286,Samsung 24 Speaker Replacement,Speaker,Samsung,Samsung 24,Repair,1,201,201,C717,35,Female,Shopee,44,Cash,4.1,S004,0,ST008,Completed,82
